Date,Close,prev_close,daily_return_pct
2013-10-02,603.0,533.0,13.13
2013-10-03,611.22,603.0,1.36
2013-10-04,671.12,611.22,9.8
2013-10-07,702.01,671.12,4.6
2013-10-08,605.25,702.01,-13.78
2013-10-09,575.0,605.25,-5.0
2013-10-10,615.0,575.0,6.96
2013-10-11,615.0,615.0,0.0
2013-10-14,564.77,615.0,-8.17
2013-10-15,555.0,564.77,-1.73
2013-10-16,533.99,555.0,-3.79
2013-10-17,529.0,533.99,-0.93
2013-10-18,515.4,529.0,-2.57
2013-10-21,522.0,515.4,1.28
2013-10-22,600.0,522.0,14.94
2013-10-23,620.05,600.0,3.34
2013-10-24,625.0,620.05,0.8
2013-10-25,647.29,625.0,3.57
2013-10-28,600.25,647.29,-7.27
2013-10-29,612.0,600.25,1.96
2013-10-30,624.0,612.0,1.96
2013-10-31,639.68,624.0,2.51
2013-11-01,638.0,639.68,-0.26
2013-11-04,640.0,638.0,0.31
2013-11-05,636.81,640.0,-0.5
2013-11-06,640.0,636.81,0.5
2013-11-07,643.0,640.0,0.47
2013-11-08,630.43,643.0,-1.95
2013-11-11,626.74,630.43,-0.59
2013-11-12,610.5,626.74,-2.59
2013-11-13,590.0,610.5,-3.36
2013-11-14,597.98,590.0,1.35
2013-11-15,618.0,597.98,3.35
2013-11-18,615.0,618.0,-0.49
2013-11-19,608.52,615.0,-1.05
2013-11-20,701.99,608.52,15.36
2013-11-21,710.21,701.99,1.17
2013-11-22,719.0,710.21,1.24
2013-11-25,720.0,719.0,0.14
2013-11-26,720.0,720.0,0.0
2013-11-29,725.0,720.0,0.69
2013-12-02,790.0,725.0,8.97
2013-12-03,885.0,790.0,12.03
2013-12-04,885.0,885.0,0.0
2013-12-05,875.0,885.0,-1.13
2013-12-06,893.99,875.0,2.17
2013-12-09,970.99,893.99,8.61
2013-12-10,980.35,970.99,0.96
2013-12-11,1005.0,980.35,2.51
2013-12-12,1011.15,1005.0,0.61
2013-12-13,1030.0,1011.15,1.86
2013-12-16,1035.0,1030.0,0.49
2013-12-17,1005.0,1035.0,-2.9
2013-12-18,995.5,1005.0,-0.95
2013-12-19,918.53,995.5,-7.73
2013-12-20,860.85,918.53,-6.28
2013-12-23,872.0,860.85,1.3
2013-12-24,902.0,872.0,3.44
2013-12-26,906.01,902.0,0.44
2013-12-27,902.0,906.01,-0.44
2013-12-30,900.5,902.0,-0.17
2013-12-31,930.0,900.5,3.28
2014-01-02,923.15,930.0,-0.74
2014-01-03,924.69,923.15,0.17
2014-01-06,911.13,924.69,-1.47
2014-01-07,932.5,911.13,2.35
2014-01-08,929.5,932.5,-0.32
2014-01-09,984.01,929.5,5.86
2014-01-10,1024.0,984.01,4.06
2014-01-13,1051.21,1024.0,2.66
2014-01-14,1151.0,1051.21,9.49
2014-01-15,1196.36,1151.0,3.94
2014-01-16,1184.5,1196.36,-0.99
2014-01-17,1179.78,1184.5,-0.4
2014-01-21,1178.0,1179.78,-0.15
2014-01-22,1151.23,1178.0,-2.27
2014-01-23,1071.0,1151.23,-6.97
2014-01-24,1053.0,1071.0,-1.68
2014-01-27,1020.8,1053.0,-3.06
2014-01-28,1040.0,1020.8,1.88
2014-01-29,990.0,1040.0,-4.81
2014-01-30,1004.75,990.0,1.49
2014-01-31,1008.0,1004.75,0.32
2014-02-03,938.15,1008.0,-6.93
2014-02-04,932.55,938.15,-0.6
2014-02-05,936.9,932.55,0.47
2014-02-06,900.77,936.9,-3.86
2014-02-07,960.95,900.77,6.68
2014-02-10,988.75,960.95,2.89
2014-02-11,1000.0,988.75,1.14
2014-02-12,995.0,1000.0,-0.5
2014-02-13,999.98,995.0,0.5
2014-02-14,995.02,999.98,-0.5
2014-02-18,1000.0,995.02,0.5
2014-02-19,970.01,1000.0,-3.0
2014-02-20,910.01,970.01,-6.19
2014-02-21,862.41,910.01,-5.23
2014-02-24,901.01,862.41,4.48
2014-02-25,916.99,901.01,1.77
2014-02-26,772.0,916.99,-15.81
2014-02-27,800.0,772.0,3.63
